Mean_Score,Std_Score,criterion,max_depth,min_samples_split,n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.570076907516629,0.004778051100185733,entropy,8,8,200,0.5716699521261617,0.5632216277105041,0.5661971830985916,0.5766197183098591,0.5726760563380282
0.5700205377576639,0.00429526195224397,gini,9,2,200,0.5727963953815827,0.5626584060827936,0.5684507042253522,0.5752112676056338,0.5709859154929577
0.5700205377576639,0.0028078972800909792,entropy,9,6,200,0.5702618980568854,0.5651929034074908,0.5695774647887324,0.5738028169014084,0.5712676056338029
0.5699641521333011,0.004145770643080089,gini,9,4,100,0.5736412278231484,0.5626584060827936,0.5687323943661972,0.5740845070422536,0.5707042253521126
0.5699077665089382,0.00494507162224339,entropy,9,4,100,0.5756125035201352,0.5615319628273726,0.5684507042253522,0.5740845070422536,0.5698591549295775
0.5699077030473463,0.004145343890362796,gini,9,5,100,0.5733596170092932,0.5649112925936356,0.568169014084507,0.576056338028169,0.5670422535211268
0.5697953760297636,0.005031924181806618,gini,9,7,100,0.5708251196845959,0.5612503520135174,0.5690140845070423,0.5769014084507043,0.5709859154929577
0.5697389745400028,0.004537588374124689,entropy,9,3,200,0.5708251196845959,0.5623767952689384,0.5695774647887324,0.5766197183098591,0.5692957746478873
0.5697389428092068,0.0053851712572093435,gini,8,8,100,0.5685722331737538,0.5651929034074908,0.5676056338028169,0.5802816901408451,0.5670422535211268
0.5696825889156398,0.004367744017733933,gini,9,3,100,0.5699802872430302,0.5640664601520698,0.568169014084507,0.5774647887323944,0.5687323943661972
0.5696825889156397,0.003319112946851833,gini,9,5,200,0.5688538439876091,0.5651929034074908,0.5715492957746479,0.5749295774647887,0.5678873239436619
0.569682493723252,0.004725636293804397,entropy,9,5,200,0.5722331737538722,0.5635032385243594,0.5664788732394366,0.5771830985915493,0.5690140845070423
0.5696262350220727,0.004036364301108137,entropy,8,7,200,0.5685722331737538,0.5657561250352013,0.5659154929577465,0.5766197183098591,0.5712676056338029
0.5696261715604809,0.003589898346410264,gini,9,8,100,0.5696986764291749,0.5657561250352013,0.5678873239436619,0.5763380281690141,0.5684507042253522
0.5694572526683617,0.004522820460131558,gini,8,4,200,0.5702618980568854,0.5635032385243594,0.5659154929577465,0.5766197183098591,0.5709859154929577
0.5694572368029638,0.003849654209722203,gini,9,6,200,0.5705435088707407,0.5635032385243594,0.5684507042253522,0.5754929577464789,0.5692957746478873
0.5694571892067698,0.005197353678831586,gini,9,6,100,0.5733596170092932,0.5615319628273726,0.5704225352112676,0.576056338028169,0.5659154929577465
0.5692319005556856,0.004197603637416485,entropy,8,2,200,0.5711067304984512,0.5626584060827936,0.5670422535211268,0.5752112676056338,0.5701408450704225
0.5692318529594916,0.003781582995143375,entropy,9,7,32,0.5657561250352013,0.5688538439876091,0.5704225352112676,0.5757746478873239,0.5653521126760563
0.5691189706529801,0.0041449378114828996,gini,8,8,200,0.5716699521261617,0.5666009574767671,0.5661971830985916,0.576056338028169,0.5650704225352112
0.5690628864711786,0.005230762200146817,entropy,9,7,200,0.5713883413123064,0.5623767952689384,0.5642253521126761,0.5769014084507043,0.5704225352112676
0.5689502580110344,0.0036805533168816763,entropy,8,5,200,0.5682906223598986,0.5646296817797803,0.5676056338028169,0.5757746478873239,0.5684507042253522
0.5689500993570549,0.0044965202760739505,gini,9,8,32,0.5725147845677274,0.5632216277105041,0.563943661971831,0.5740845070422536,0.5709859154929577
0.5689500834916569,0.0025603355661249854,gini,9,7,200,0.5711067304984512,0.5649112925936356,0.5676056338028169,0.572112676056338,0.5690140845070423
0.568781323253517,0.0044556174802596596,gini,8,2,200,0.5691354548014643,0.5623767952689384,0.5659154929577465,0.5754929577464789,0.5709859154929577
0.5686687265241689,0.004584738009657055,gini,8,9,200,0.5680090115460433,0.5620951844550831,0.5673239436619718,0.5763380281690141,0.5695774647887324
0.568668663062577,0.004051064016894811,entropy,9,3,100,0.5671641791044776,0.5640664601520698,0.5653521126760563,0.5746478873239437,0.572112676056338
0.5686123408998061,0.005373406802901984,entropy,8,6,200,0.5694170656153196,0.5615319628273726,0.5670422535211268,0.5780281690140845,0.5670422535211268
0.568556066333229,0.005054436560079624,gini,8,4,100,0.5691354548014643,0.5606871303858069,0.5684507042253522,0.5766197183098591,0.5678873239436619
0.5685560187370349,0.004511503756875199,gini,8,5,200,0.5685722331737538,0.5620951844550831,0.5667605633802817,0.576056338028169,0.5692957746478873
0.5685559711408411,0.004130670543426142,entropy,8,4,200,0.5691354548014643,0.5623767952689384,0.5670422535211268,0.5752112676056338,0.5690140845070423
0.5685554951789021,0.002989542443394751,gini,9,6,32,0.5727963953815827,0.5671641791044776,0.5667605633802817,0.5712676056338029,0.5647887323943662
0.5684997917666517,0.0054816639337933295,gini,8,3,32,0.5711067304984512,0.557589411433399,0.5704225352112676,0.572112676056338,0.5712676056338029
0.5683871633065076,0.004848338324763329,gini,9,7,32,0.5671641791044776,0.5606871303858069,0.5698591549295775,0.5757746478873239,0.5684507042253522
0.5683870205179259,0.004557968682030263,entropy,8,4,100,0.5685722331737538,0.5618135736412279,0.5670422535211268,0.576056338028169,0.5684507042253522
0.5683868935947423,0.0040271175749135475,entropy,9,6,32,0.5711067304984512,0.5615319628273726,0.5664788732394366,0.5729577464788732,0.5698591549295775
